Cód.Turma,Data Início,Evento,IC
310640,19/09/2026,Conscin-Cobaia Voluntária do Conscienciograma,CONSCIUS,
310639,15/08/2026,Conscin-Cobaia Voluntária do Conscienciograma,CONSCIUS,
310500,13/07/2026,Congresso Internacional de Inversão Existencial,ASSINVEXIS,
311073,07/02/2026,Curso para Formação de Professores de Conscienciologia,REAPRENDENTIA,
310620,21/11/2025,Live Editares,EDITARES,
310620,21/11/2025,Live Editares,EDITARES,
310593,14/11/2025,40 Manobras Energéticas,ASSIPI,
309239,17/10/2025,Acoplamentarium,CEAEC,
310844,11/10/2025,Credenciamento Passagem Mch,CEAEC,
310630,04/10/2025,Fundamentos do Código Pessoal de Cosmoética,JURISCONS,
310517,01/09/2025,Live Editares,EDITARES,
309236,23/08/2025,Acoplamentarium,CEAEC,
310235,16/08/2025,International Week of Conscientiology 2025,ISIC,
310218,15/08/2025,International Week of Conscientiology 2025,ISIC,
310219,15/08/2025,International Week of Conscientiology 2025,ISIC,
310220,15/08/2025,International Week of Conscientiology 2025,ISIC,
310221,15/08/2025,International Week of Conscientiology 2025,ISIC,
310222,15/08/2025,International Week of Conscientiology 2025,ISIC,
310459,27/07/2025,Live Editares,EDITARES,
307320,21/07/2025,Semana Paracientífica,CEAEC,
310081,19/07/2025,Jantar de 3 Décadas do Ceaec,CEAEC,
310039,18/07/2025,Curso de Campo,ASSINVEXIS,
310067,10/07/2025,Teoria e Prática da Inversão Existencial,ASSINVEXIS,
308788,10/07/2025,Semana da Invéxis,ASSINVEXIS,
309231,13/06/2025,Acoplamentarium,CEAEC,
309391,03/05/2025,Curso Temático Julgamento da Humanidade,JURISCONS,
309404,25/04/2025,Aniversário Comemorativo 1a Década da Juriscons,JURISCONS,
309404,25/04/2025,Aniversário Comemorativo 1a Década da Juriscons,JURISCONS,
309981,23/04/2025,Semana da Paradireitologia,JURISCONS,
307467,20/03/2025,Curso Programa Verbetografia,ENCYCLOSSAPIENS,
310041,17/03/2025,Clube de Leitura dos Clássicos,APEX,
307650,01/03/2025,Balanço Existencial,APEX,
309266,09/02/2025,Tpc - Teoria e Prática da Conscienciologia,CEAEC,
309692,01/01/2025,Pacote Acoplamentarium,CEAEC,
308739,25/07/2024,Congraçamento,UNICIN,
305815,01/06/2022,Dinâmicas Passaporte,CEAEC,
304780,17/11/2021,Prova Eletiva Cfpc,REAPRENDENTIA,
,"página  de 1  37 registros   mostrar 
5
10
20
50
100
500"
